LR,subject,minMSE
0.14,y7a6denlnqvwcgm,171.53367663964352
0.18,tf2ekjffoeoptr3,198.5882656957874
0.1,4r8fa9xh0zzco6o,203.81249823239625
0,a9tn75magy8nffy,181.18654011916252
0.16,rbrzxgywqun5ned,162.24269977611408
0.12,jlbt4al7q4sv0kj,189.62626984576562
0,lomhl7jw27e38km,177.81200387014096
0,jtdzsxkh2scccvw,175.32043735501415
0.01,q3rm4bg3z295hv5,190.06096802273396
0.01,y0g9hknjyys0m49,180.81012588175494
0.19,uet3pdw7hgm1hea,156.34992368345684
0,2het2jcuqxrh16x,187.63130231724276
0.02,pqo0sdtzqqhkq76,145.33444920508637
0.02,g63luoo50ve7yyn,173.01372309269902
0.03,5vuexcfs8r2v26t,184.48454155370607
0,us6grs84gamvlyg,110.19743953634283
0,fb8xdh3czx77hyn,149.8910570181914
0,rahonpod5yv68g4,123.97654037075074
0.11,9ckz34m3thm405a,108.55036685893879
0,dba0gupfpezprom,172.54900732935417
0,4z5220nwml6k16r,173.96677917330211
0.04,ylraknlb7m2m4j8,187.4371203102235
0.36,ygop6p10kgt4a4w,167.86976838428643
0.2,anajk6su5f9k9yb,185.15771013151374
0,qcurxvucaexqxs8,186.48968776283775
0.05,bvoobt12gur23nj,175.73450736319444
0.01,zrk9ubdb0jcwyfh,147.3812354732902
0.29,je9la01s4txjkw5,137.6032126522789
0.03,cz7ln2tal5qhfz1,130.0979947858179
0.02,lymkfw9n1mft0no,147.76976238219385
0.59,t7w0f2l0exzmotj,161.99247114664792
0.01,jfnmbjt4xn1r4dg,174.6880969868446
0.02,0kousukd07tco21,158.35723434395766
0,5mptj6ff8jp8fan,198.3544954179696
0.08,d4o3knz0mpk1e3r,182.03719977175788
0.25,yvs2167kyhkctcg,116.55300585951686
0,v2dh8a69mhuhkqz,175.26267347583175
0.3,cd1ooce50gh5xra,182.27459293822653
0.01,edj8zsg91okuwrc,181.05778758557494
0.01,4w9ejvvn5wn1gp4,170.25337236232636
0.09,zybgre563nuk6gb,202.4295675428193
0,gcbscmvhn2vt6bq,174.71550141837656
0,qn2bd9kkow9cfv1,158.77848616819696
0.05,zjckc3bo5wlwdhf,186.52408690304551
0.06,6a0rzgq5xfwq5gb,164.5671166482666
0,2umoxqltydb26ta,162.9320079050551
0.05,krtzqhvu9bkamrg,207.26659428563104
0,3jubrevqkxk105x,149.84972855912858
0.44,3ygub809y5e0rxr,182.81457474613586
0.18,a2pxd76fec08wqv,189.17828259619506
0.35000000000000003,h6qct37mx0ek964,155.59017623052043
0.11,rtd925uhy78rvmr,126.00033199073967
0,qbzttsocef3cc2y,172.14593325512746
0.71,ub40eh4k8rdgvtb,133.7369717954251
0.91,fo7rrkaarq1yxbk,175.35074654333275
0.2,q5ep7vxrajzuy3s,164.63754678431746
0.13,gqbcw11bbup9p63,179.83337263031575
0.26,bp49s1tkfbb8xru,94.28220931329926
0.28,vrlt89awtbuehfx,165.42705262164486
0.09,5l5ksa2v5z1xcrs,136.39341854466744
0.19,m50kxs0ne7ln5xe,144.20318325118214
0,wdhmud3k27y9347,145.03341558715775
0.03,s0kptdmjr5nhxj4,122.95942202405338
0.01,x03mf9pz89y5s1k,160.89528880178563
0,k45h5lxk13xjkxs,173.21660632064692
0,mqng9gal5nqwgz9,193.32175122536432
0,fhx07b8nwvnqhok,167.57302698402773
0.32,z4po88qwrs63ldg,150.88531148823625
0.43,xyvdwfe8z64oyoz,167.03023791032192
0.05,z2x1ybgywapr8x0,186.9547972389804
0.04,zpdbjkc3r3564ye,183.35872695660325
0.1,3j2uzccgoqa3u2m,167.7798932114773
0.43,vum2fldfgzx1jw1,163.45770196293856
